embedding_size,num_layers,epochs,learning_rate,weight_decay,dropout,total_test_revenue
64,2,50,0.001,9e-05,0.2,25797.6184277234
64,2,50,0.001,9e-05,0.1,25729.464856659408
128,2,50,0.001,9e-05,0.1,25696.939124142915
64,2,50,0.001,1e-05,0.1,25624.189873085834
64,2,50,0.001,9e-05,0.0,25580.61639787298
64,2,50,0.001,9e-05,0.1,25540.64925171577
64,2,50,0.001,9e-05,0.1,25408.999913205676
64,2,50,0.001,9e-05,0.2,25225.509676603684
64,2,50,0.001,9e-05,0.1,25174.418909946347
64,2,50,0.001,1e-05,0.1,25131.302991716308
128,2,50,0.001,9e-05,0.1,25089.184879771674
64,2,50,0.001,9e-05,0.2,25081.815951360993
64,2,50,0.001,9e-05,0.1,25064.57712457861
64,2,50,0.001,5e-05,0.1,25039.67419951102
64,2,50,0.001,5e-05,0.1,24827.922840769636
32,2,50,0.001,9e-05,0.1,24826.96075991274
64,2,50,0.001,9e-05,0.1,24806.78104172116
64,2,50,0.001,9e-05,0.0,24506.01011379229
64,4,50,0.001,9e-05,0.1,24481.728334041436
64,4,50,0.001,9e-05,0.1,24232.10782746019
64,3,50,0.001,9e-05,0.1,24129.570799288584
64,2,50,0.001,9e-05,0.1,23947.371972928267
64,2,50,0.001,1e-05,0.1,23945.279015100285
32,2,50,0.001,9e-05,0.1,23944.431633673168
64,2,50,0.001,9e-05,0.1,23781.94777157421
64,2,50,0.001,9e-05,0.1,23689.74591636447
64,2,50,0.001,9e-05,0.1,23608.345272841743
64,2,50,0.001,9e-05,0.1,23587.597130345854
64,2,50,0.001,9e-05,0.1,23466.813486461404
64,2,50,0.001,1e-05,0.1,23454.922921584825
64,2,50,0.001,5e-05,0.1,23305.639612671526
64,3,50,0.001,9e-05,0.1,23214.265294996025
64,2,50,0.001,9e-05,0.1,23122.741946454706
64,2,50,0.001,9e-05,0.0,23083.255998857974
64,2,150,0.001,9e-05,0.1,22501.91412016456
64,2,50,0.001,9e-05,0.1,22474.59231158819
64,3,50,0.005,1e-05,0.1,22135.813038724475
64,2,100,0.001,9e-05,0.1,22050.681239337988
64,2,50,0.005,1e-05,0.1,21747.89328097947
64,2,50,0.009,9e-05,0.1,21553.37553278095
64,2,50,0.005,1e-05,0.1,21482.633460568475
64,2,50,0.005,1e-05,0.1,21275.00170381472
32,2,50,0.005,1e-05,0.1,21180.411924420754
64,2,50,0.005,9e-05,0.1,21109.523387671743
64,2,50,0.009,9e-05,0.1,21008.289248503643
64,2,150,0.001,9e-05,0.1,20586.730921450846
64,2,50,0.005,9e-05,0.1,20350.865865896907
128,2,50,0.005,1e-05,0.1,20348.89389495936
64,2,100,0.001,9e-05,0.1,20306.323047511483
64,2,100,0.005,1e-05,0.1,19780.606077489938
64,4,50,0.005,1e-05,0.1,19377.2274634266
64,2,50,0.005,1e-05,0.1,18974.774463445458
64,2,150,0.005,1e-05,0.1,18408.534329856637
64,2,50,0.009,1e-05,0.1,17783.700114889947
