n_estimators,learning_rate,max_depth,subsample,colsample_bytree,alpha,total_test_revenue
150,0.01,3,0.7,0.7,0.0,13212.871780063442
150,0.01,3,0.7,0.7,0.0,13135.13071916465
100,0.01,3,0.7,0.7,0.0,12970.073612019522
150,0.26,3,0.7,0.7,0.0,12714.276138245856
150,0.01,3,0.7,0.7,0.0,12689.5362629078
150,0.01,3,0.7,0.7,10.0,12647.350933030184
150,0.01,3,0.7,0.7,5.0,12556.514484492363
150,0.01,3,0.7,0.8,0.0,12506.938563653617
200,0.01,3,0.7,0.7,0.0,12446.746761690385
150,0.16,3,0.7,0.7,0.0,12446.579499902842
150,0.21,3,0.7,0.7,0.0,12426.506523155189
150,0.01,3,0.8,0.7,0.0,12395.508597603177
150,0.01,3,0.9,0.7,0.0,12387.142841181518
150,0.01,3,0.7,0.7,0.0,12366.575040777283
150,0.01,3,0.8,0.7,0.0,12356.161883837654
150,0.06,3,0.7,0.7,0.0,12316.368700534604
150,0.01,3,0.7,0.7,0.0,12315.172528133056
150,0.01,7,0.7,0.7,0.0,12299.423067308779
150,0.01,3,0.7,0.7,0.0,12241.220954699736
150,0.01,3,0.7,0.7,0.0,12197.906739406446
150,0.01,3,0.9,0.7,0.0,12179.155415193038
150,0.16,3,0.7,0.7,0.0,12104.653838457272
150,0.11,3,0.7,0.7,0.0,12032.34273449108
150,0.01,3,0.7,0.9,0.0,12007.77632357759
50,0.01,3,0.7,0.7,0.0,11956.436133791001
100,0.01,3,0.7,0.7,0.0,11881.243437649875
150,0.01,3,0.7,0.7,0.0,11875.237657125064
150,0.06,3,0.7,0.7,0.0,11819.977853868448
150,0.01,3,0.7,0.8,0.0,11761.976694515859
150,0.01,7,0.7,0.7,0.0,11748.543633467607
150,0.01,3,0.7,0.7,0.0,11697.68369465998
150,0.01,3,0.7,0.7,0.0,11638.674051223466
150,0.11,3,0.7,0.7,0.0,11620.666856276639
150,0.26,3,0.7,0.7,0.0,11605.748519008683
150,0.01,5,0.7,0.7,0.0,11589.351498253369
150,0.01,5,0.7,0.7,0.0,11532.168213273893
150,0.01,3,0.7,0.7,10.0,11457.482394400606
150,0.01,3,0.7,0.9,0.0,11457.039610088044
150,0.01,3,0.7,0.7,0.0,11407.910961588954
150,0.01,3,0.7,0.7,0.0,11278.325720127588
150,0.21,3,0.7,0.7,0.0,11153.95552877245
50,0.01,3,0.7,0.7,0.0,10953.423639686529
200,0.01,3,0.7,0.7,0.0,10821.13142612259
150,0.01,3,0.7,0.7,5.0,10524.905852072965
