penalty,C,solver,max_iter,tol,total_test_revenue
l2,0.5,saga,1000,0.0001,10206.023289222801
l2,0.5,saga,1000,0.0001,10094.367552992539
l2,0.5,saga,1000,0.0001,10026.338281505525
,0.5,saga,1000,0.0001,9803.8891429735
l2,0.5,saga,1000,0.0001,9749.658275600379
,0.5,saga,1000,0.0001,9721.541813067148
,0.5,saga,1000,0.0001,9635.522879321228
,0.5,saga,1000,0.0001,9626.328112361234
l1,0.5,saga,1000,0.0001,9618.014141605796
,0.5,saga,1000,0.0001,9599.475403882016
,0.5,saga,1000,0.0001,9572.20962422419
,0.5,saga,1000,0.0001,9461.225753033083
l2,0.5,saga,1000,0.0001,9451.658484375555
l1,0.5,saga,1000,0.0001,9450.666232879368
,0.5,saga,1000,0.0001,9440.508545311524
,0.5,saga,1000,0.0001,9437.477863494507
,0.5,saga,1000,0.0001,9415.07645697651
,0.5,saga,1000,0.0001,9395.032240638404
l2,0.5,saga,1000,0.0001,9278.907351926335
,0.5,saga,1000,0.0001,9272.525606574021
,0.5,saga,1000,0.0001,9250.22421574959
,0.5,saga,1000,0.0001,9184.36816802802
,0.5,saga,1000,0.0001,9170.582169830408
l2,0.5,saga,1000,0.0001,9149.39145807446
,0.5,saga,1000,0.0001,9143.697780505407
,0.5,saga,1000,0.0001,9022.366913957818
,0.5,saga,1000,0.0001,8974.104531431392
l2,0.5,saga,1000,0.0001,8962.095272990575
,0.5,saga,1000,0.0001,8908.728474067862
,0.5,saga,1000,0.0001,8899.766523794455
l2,0.5,saga,1000,0.0001,8893.36313364283
,0.5,saga,1000,0.0001,8870.329879118279
l2,0.5,saga,1000,0.0001,8860.484177244034
l2,0.5,saga,1000,0.0001,8846.509159755475
l1,0.5,saga,1000,0.0001,8814.898566220238
,0.5,saga,1000,0.0001,8801.473173879558
l2,0.5,saga,1000,0.0001,8731.557911020234
l2,0.5,saga,1000,0.0001,8659.790929620458
l2,0.5,saga,1000,0.0001,8644.925232479196
,0.5,saga,1000,0.0001,8539.483199124606
,0.5,saga,1000,0.0001,8513.385893973855
,0.5,saga,1000,0.0001,8412.669517303055
